week_start,country,rank,title,appid,url,price_info,rank_change,extra
2026-08-25,CN,1,How to Fish,4001890,https://store.steampowered.com/app/4001890/How_to_Fish?snr=1_7001_7002_,$7.99,▲ 1,2
2026-08-25,CN,2,Apex Legends™,1172470,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_7001_7002_,Free To Play,▼ 1,303
2026-08-25,CN,3,NBA 2K27,4356430,https://store.steampowered.com/app/4356430/NBA_2K27?snr=1_7001_7002_,"Prepurchase
$69.99",▲ 11,3
2026-08-25,CN,4,Forza Horizon 5,1551360,https://store.steampowered.com/app/1551360/Forza_Horizon_5?snr=1_7001_7002_,"-60%
$59.99
$23.99",RETURNING,1
2026-08-25,CN,5,PUBG: BATTLEGROUNDS,578080,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_7001_7002_,Free To Play,▲ 2,493
2026-08-25,CN,6,Phantom Blade Zero,4115450,https://store.steampowered.com/app/4115450/Phantom_Blade_Zero?snr=1_7001_7002_,"Prepurchase
$59.99",▼ 3,3
2026-08-25,CN,7,Forza Horizon 6,2483190,https://store.steampowered.com/app/2483190/Forza_Horizon_6?snr=1_7001_7002_,"-15%
$69.99
$59.49",▲ 10,32
2026-08-25,CN,8,Counter-Strike 2,730,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_7001_7002_,Free To Play,0,734
2026-08-25,CN,9,Red Dead Redemption 2,1174180,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_7001_7002_,"-75%
$59.99
$14.99",RETURNING,1
2026-08-25,CN,10,Onimusha: Way of the Sword,2638890,https://store.steampowered.com/app/2638890/Onimusha_Way_of_the_Sword?snr=1_7001_7002_,"Prepurchase
$69.99",▲ 13,4
2026-08-25,CN,11,Dota 2,570,https://store.steampowered.com/app/570/Dota_2?snr=1_7001_7002_,Free To Play,0,23
2026-08-25,CN,12,Crimson Desert Enhanced,3321460,https://store.steampowered.com/app/3321460/Crimson_Desert_Enhanced?snr=1_7001_7002_,"-20%
$69.99
$55.99",▲ 34,7
2026-08-25,CN,13,Grand Theft Auto V Enhanced,3240220,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced?snr=1_7001_7002_,"-56%
$44.99
$19.79",▲ 14,58
2026-08-25,CN,14,EA SPORTS FC™ 27,4080220,https://store.steampowered.com/app/4080220/EA_SPORTS_FC_27?snr=1_7001_7002_,"Prepurchase
$69.99",▲ 15,6
2026-08-25,CN,15,Wallpaper Engine,431960,https://store.steampowered.com/app/431960/Wallpaper_Engine?snr=1_7001_7002_,$4.99,0,508
2026-08-25,CN,16,Dead by Daylight,381210,https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_7001_7002_,$19.99,▲ 27,227
2026-08-25,CN,17,"雀魂麻將(MahjongSoul)
(not available in your region)",1329410,https://store.steampowered.com/app/1329410/%E9%9B%80%E9%AD%82%E9%BA%BB%E5%B0%87MahjongSoul?snr=1_7001_7002_,,▼ 12,23
2026-08-25,CN,18,Hogwarts Legacy,990080,https://store.steampowered.com/app/990080/Hogwarts_Legacy?snr=1_7001_7002_,"-90%
$59.99
$5.99",RETURNING,1
2026-08-25,CN,19,Delta Force,2507950,https://store.steampowered.com/app/2507950/Delta_Force?snr=1_7001_7002_,Free To Play,▼ 9,91
2026-08-25,CN,20,Warframe,230410,https://store.steampowered.com/app/230410/Warframe?snr=1_7001_7002_,Free To Play,▼ 4,531
2026-08-25,CN,21,Palworld,1623730,https://store.steampowered.com/app/1623730/Palworld?snr=1_7001_7002_,"-30%
$29.99
$20.99",▲ 48,10
2026-08-25,CN,22,Gamble With Your Friends,3892270,https://store.steampowered.com/app/3892270/Gamble_With_Your_Friends?snr=1_7001_7002_,$7.99,▲ 50,2
2026-08-25,CN,23,Shift At Midnight,3722330,https://store.steampowered.com/app/3722330/Shift_At_Midnight?snr=1_7001_7002_,"-10%
$9.99
$8.99",▼ 3,6
2026-08-25,CN,24,ELDEN RING,1245620,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_7001_7002_,$59.99,▲ 33,8
2026-08-25,CN,25,ARK: Survival Ascended,2399830,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended?snr=1_7001_7002_,"-75%
$44.99
$11.24",▲ 64,2
2026-08-25,CN,26,Big Walk,1478500,https://store.steampowered.com/app/1478500/Big_Walk?snr=1_7001_7002_,$19.99,▼ 5,4
2026-08-25,CN,27,Black Myth: Wukong,2358720,https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_7001_7002_,$59.99,▼ 21,23
2026-08-25,CN,28,Survival Log,4164790,https://store.steampowered.com/app/4164790/Survival_Log?snr=1_7001_7002_,$10.99,▼ 9,3
2026-08-25,CN,29,Escape from Tarkov,3932890,https://store.steampowered.com/app/3932890/Escape_from_Tarkov?snr=1_7001_7002_,$49.99,▼ 3,16
2026-08-25,CN,30,ELDEN RING Tarnished Pack,3655690,https://store.steampowered.com/app/3655690/ELDEN_RING_Tarnished_Pack?snr=1_7001_7002_,$4.99,NEW,1
2026-08-25,CN,31,Machine Party,4108000,https://store.steampowered.com/app/4108000/Machine_Party?snr=1_7001_7002_,$7.99,▼ 1,5
2026-08-25,CN,32,DAVE THE DIVER,1868140,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER?snr=1_7001_7002_,$19.99,▲ 1,2
2026-08-25,CN,33,Stardew Valley,413150,https://store.steampowered.com/app/413150/Stardew_Valley?snr=1_7001_7002_,$14.99,▼ 1,148
2026-08-25,CN,34,Call of Duty®: Modern Warfare® III,2519060,https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III?snr=1_7001_7002_,,▼ 22,3
2026-08-25,CN,35,WARDOGS,1867240,https://store.steampowered.com/app/1867240/WARDOGS?snr=1_7001_7002_,"Prepurchase
$39.99",▼ 11,3
2026-08-25,CN,36,Slay the Spire 2,2868840,https://store.steampowered.com/app/2868840/Slay_the_Spire_2?snr=1_7001_7002_,$24.99,▲ 4,26
2026-08-25,CN,37,STAR WARS Zero Company™,2075800,https://store.steampowered.com/app/2075800/STAR_WARS_Zero_Company?snr=1_7001_7002_,$49.99,NEW,1
2026-08-25,CN,38,Resonance: A Plague Tale Legacy,2713000,https://store.steampowered.com/app/2713000/Resonance_A_Plague_Tale_Legacy?snr=1_7001_7002_,$49.99,NEW,1
2026-08-25,CN,39,Transport Fever 3,3493540,https://store.steampowered.com/app/3493540/Transport_Fever_3?snr=1_7001_7002_,"Prepurchase
$49.99",NEW,1
2026-08-25,CN,40,Battlefield™ 6,2807960,https://store.steampowered.com/app/2807960/Battlefield_6?snr=1_7001_7002_,$69.99,▼ 9,57
2026-08-25,CN,41,Shadow Dungeon,4423580,https://store.steampowered.com/app/4423580/Shadow_Dungeon?snr=1_7001_7002_,"-10%
$9.99
$8.99",NEW,1
2026-08-25,CN,42,Green Hell,815370,https://store.steampowered.com/app/815370/Green_Hell?snr=1_7001_7002_,"-90%
$27.99
$2.79",RETURNING,1
2026-08-25,CN,43,Mortal Shell II,2584270,https://store.steampowered.com/app/2584270/Mortal_Shell_II?snr=1_7001_7002_,$49.99,▼ 34,3
2026-08-25,CN,44,Raft,648800,https://store.steampowered.com/app/648800/Raft?snr=1_7001_7002_,"-33%
$19.99
$13.39",▲ 4,18
2026-08-25,CN,45,ARK: Survival Evolved,346110,https://store.steampowered.com/app/346110/ARK_Survival_Evolved?snr=1_7001_7002_,"-34%
$14.99
$9.89",▲ 50,2
2026-08-25,CN,46,Don't Starve Together,322330,https://store.steampowered.com/app/322330/Dont_Starve_Together?snr=1_7001_7002_,"-66%
$14.99
$5.09",▲ 7,612
2026-08-25,CN,47,NARAKA: BLADEPOINT,1203220,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT?snr=1_7001_7002_,Free To Play,▼ 13,264
2026-08-25,CN,48,Senren＊Banka,1144400,https://store.steampowered.com/app/1144400/SenrenBanka?snr=1_7001_7002_,$34.99,RETURNING,1
2026-08-25,CN,49,KARDS - The WW2 Card Game,544810,https://store.steampowered.com/app/544810/KARDS_The_WW2_Card_Game?snr=1_7001_7002_,Free To Play,▲ 44,2
2026-08-25,CN,50,Chained Together,2567870,https://store.steampowered.com/app/2567870/Chained_Together?snr=1_7001_7002_,"-20%
$4.99
$3.99",▲ 30,8
